claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_weight,fraud,latitude,longitude
6447,33.0,F,1.0,15,34961.0,0,1,Own,Highway,0,0.0,100,Broker,0,4926.253941,6.0,Large,46778.35819,32603.44026,0,38.84,-77.44
8139,25.0,F,0.0,60,32190.0,0,1,Rent,Highway,2,0.0,6,Online,0,4255.8283,3.0,Compact,36975.40625,14965.15095,0,39.79,-105.11
2759,58.0,M,1.0,83,40612.0,1,0,Own,Local,0,1.0,88,Broker,0,5877.304067,6.0,Medium,30780.98282,21515.14956,0,33.68,-112.09
22996,51.0,M,1.0,80,39302.0,0,1,Rent,Local,0,1.0,49,Broker,1,7350.002859,7.0,Compact,12472.5367,17002.91907,0,41.71,-94.92
15686,34.0,M,0.0,79,35262.0,1,0,Own,Local,0,1.0,0,Phone,1,5909.065521,8.0,Large,20900.49877,14552.75255,0,33.59,-112.1
10405,52.0,F,1.0,77,39507.0,1,0,Rent,Local,0,0.0,57,Broker,1,2537.713266,5.0,Large,34913.59093,22890.60637,0,41.61,-94.02
29721,75.0,F,1.0,70,43181.0,1,1,Rent,Parking Lot,2,0.0,50,Broker,1,2273.119846,3.0,Large,28255.66159,15962.03724,0,41.89,-93.53
11511,43.0,M,1.0,72,37600.0,1,0,Rent,Local,0,0.0,9,Broker,1,8393.341491,1.0,Large,17095.32212,24014.13624,0,39.13,-77.71
7704,50.0,M,1.0,69,39136.0,1,1,Rent,Local,0,0.0,50,Phone,1,6578.78922,2.0,Medium,12947.3714,29132.65443,0,38.81,-77.46
19062,47.0,M,1.0,69,38500.0,1,1,Rent,Parking Lot,0,0.0,100,Broker,1,3677.185282,1.0,Compact,16238.88416,12203.863,0,40.69,-80.3
12430,34.0,M,0.0,62,35272.0,1,0,Own,Parking Lot,2,0.0,51,Phone,1,3859.925037,9.0,Compact,18421.105,12661.1054,1,40.12,-79.86
22259,30.0,M,0.0,88,34019.0,1,1,Own,Local,0,0.0,98,Broker,1,2450.962557,5.0,Large,45078.22631,26568.66094,0,40.27,-79.88
11770,35.0,M,1.0,67,35551.0,1,1,Rent,Parking Lot,0,0.0,50,Phone,1,2456.09066,8.0,Compact,22230.77642,37599.44241,0,41.36,-93.47
8536,42.0,M,1.0,71,37382.0,1,1,Rent,Local,0,0.0,100,Broker,1,6489.462346,5.0,Medium,16735.58136,18378.84004,0,39.75,-104.42
29047,33.0,F,1.0,72,34961.0,0,1,Own,Local,2,0.0,63,Broker,0,6997.862604,2.0,Medium,36968.72098,47047.99544,0,39.69,-104.81
7173,49.0,M,1.0,82,38928.0,1,0,Own,Local,4,1.0,14,Broker,1,4678.72637,7.0,Large,26954.52752,18571.3741,0,39.63,-104.78
7664,45.0,F,1.0,83,38064.0,0,0,Rent,Parking Lot,0,0.0,49,Online,0,6861.426479,7.0,Large,21148.95197,12578.0291,0,38.75,-77.43
8799,36.0,F,0.0,59,35828.0,1,1,Own,Local,0,0.0,88,Phone,1,2674.798652,3.0,Large,22678.07911,10329.71214,0,33.51,-112.12
19954,61.0,F,1.0,88,41110.0,1,1,Own,Local,2,0.0,0,Broker,1,3681.226277,3.0,Compact,30503.44209,29489.34845,0,41.61,-94.02
6246,49.0,M,0.0,60,38921.0,0,1,Own,Local,1,0.0,0,Phone,1,3774.183472,5.0,Medium,8894.246217,7594.58962,0,39.83,-105.06
27731,43.0,F,0.0,78,37609.0,1,0,Rent,Highway,0,1.0,2,Broker,1,9308.530236,5.0,Large,44286.89401,22930.1859,1,38.84,-77.44
8135,31.0,F,1.0,84,34339.0,1,0,Rent,Parking Lot,0,0.0,20,Broker,0,4839.880661,5.0,Compact,11458.03888,24640.14899,0,38.97,-77.64
5769,34.0,F,1.0,75,35265.0,1,1,Own,Parking Lot,0,0.0,90,Online,0,6137.956633,2.0,Medium,9041.451025,28744.03002,0,33.5,-111.98
10547,49.0,M,1.0,73,38919.0,1,0,Own,Highway,0,0.0,30,Broker,0,3678.357376,4.0,Large,7906.712216,26208.15951,0,33.69,-112.0
19130,26.0,M,1.0,81,32588.0,1,1,Rent,Highway,0,0.0,64,Online,1,5939.863174,6.0,Medium,31694.43674,13052.03813,0,33.5,-112.12
12913,49.0,F,1.0,67,38929.0,1,1,Own,Local,1,0.0,46,Broker,1,5057.029612,5.0,Large,22677.67948,21089.51094,0,39.22,-104.53
4518,38.0,F,0.0,65,36375.0,1,1,Rent,Parking Lot,0,0.0,64,Broker,1,5716.012147,5.0,Medium,21783.66137,5892.891087,1,41.36,-93.47
5933,42.0,F,1.0,86,37379.0,0,0,Own,Local,0,0.0,75,Broker,1,8265.62551,7.0,Large,21590.11377,28672.00716,0,33.37,-112.03
7433,52.0,M,0.0,96,39509.0,1,1,Rent,Local,5,0.0,38,Online,1,5775.069268,5.0,Large,19162.22085,22091.05804,0,39.04,-77.48
23852,40.0,M,1.0,96,36885.0,1,1,Own,Parking Lot,0,0.0,32,Phone,0,6246.774327,5.0,Compact,33262.89603,11279.61053,0,39.69,-104.81
17549,55.0,F,1.0,60,40074.0,1,1,Rent,Highway,0,0.0,93,Phone,0,1714.890801,3.0,Medium,17407.54767,17824.18231,1,40.65,-80.4
25221,39.0,F,1.0,34,36632.0,1,1,Rent,Local,1,1.0,44,Broker,1,3225.204293,6.0,Large,9336.989002,13724.76696,0,42.01,-93.31
29477,55.0,M,1.0,82,40071.0,1,1,Rent,Parking Lot,0,0.0,1,Phone,1,2078.807414,8.0,Large,16053.88545,8444.070843,0,42.02,-93.62
28165,57.0,F,1.0,70,40435.0,1,1,Own,Local,1,0.0,98,Phone,0,3648.667058,5.0,Compact,18514.86634,18575.10679,0,42.11,-92.98
14264,55.0,M,1.0,91,40086.0,1,1,Own,Local,0,0.0,65,Broker,1,5075.421548,4.0,Large,15546.3745,81677.75359,0,33.5,-112.08
2318,35.0,M,1.0,66,35550.0,0,1,Own,Local,0,0.0,24,Broker,0,6406.037141,7.0,Large,5313.069873,17753.38009,0,39.99,-105.09
3452,49.0,M,1.0,68,38912.0,1,0,Rent,Local,0,1.0,95,Phone,0,5568.248594,7.0,Medium,7493.12088,16074.30602,0,39.11,-77.69
17309,50.0,M,0.0,81,39125.0,1,1,Own,Local,0,0.0,43,Broker,0,4507.031005,6.0,Medium,15503.92662,20361.69358,0,39.85,-105.13
23318,43.0,M,1.0,88,37614.0,0,0,Own,Highway,1,1.0,86,Phone,1,9176.93575,6.0,Large,39239.80277,25123.25618,0,41.36,-93.47
13763,42.0,M,0.0,91,37377.0,1,1,Own,Local,1,1.0,0,Online,0,4990.538166,5.0,Compact,27314.10975,23376.16808,0,39.83,-105.04
27156,74.0,M,1.0,57,43047.0,1,1,Rent,Local,1,1.0,57,Broker,1,5045.931454,5.0,Large,14922.18512,41092.34662,0,40.38,-79.81
15045,80.0,F,1.0,91,43831.0,1,1,Own,Parking Lot,0,0.0,47,Broker,0,3332.682061,6.0,Medium,21346.93066,16576.4013,0,38.9,-77.45
24344,27.0,M,1.0,73,32971.0,1,1,Rent,Local,2,1.0,50,Online,0,5487.63604,1.0,Compact,48028.18386,17592.06183,0,39.86,-105.19
8411,74.0,M,1.0,59,43053.0,1,1,Rent,Parking Lot,1,0.0,10,Phone,1,4145.320802,4.0,Medium,38077.16098,23494.04741,0,40.12,-79.86
1169,43.0,F,1.0,80,37630.0,1,1,Rent,Local,0,0.0,0,Phone,1,5889.809757,7.0,Compact,23661.08659,13342.26796,0,40.55,-80.23
17913,42.0,M,0.0,85,37370.0,0,1,Rent,Parking Lot,0,0.0,97,Broker,1,7271.136966,4.0,Medium,17224.97667,20016.69972,0,39.89,-105.11
10380,28.0,M,1.0,73,33324.0,1,1,Rent,Parking Lot,3,0.0,23,Phone,1,6244.314218,2.0,Medium,60487.61192,22619.68229,1,40.64,-80.49
24134,44.0,M,0.0,92,37852.0,0,0,Own,Highway,2,0.0,8,Broker,1,2902.378801,4.0,Medium,30054.68589,21985.32303,0,38.74,-77.48
18111,58.0,M,1.0,84,40605.0,1,1,Own,Local,0,0.0,36,Broker,0,4972.595978,4.0,Medium,7093.724517,7223.080419,0,39.75,-104.84
4397,47.0,M,1.0,88,38486.0,1,0,Own,Local,0,0.0,51,Phone,1,3929.15526,4.0,Medium,52855.46997,33233.44566,0,33.5,-112.02
13788,42.0,F,1.0,82,37380.0,0,1,Own,Parking Lot,0,0.0,92,Broker,0,9183.392819,6.0,Medium,19853.54875,25552.24685,0,41.72,-93.6
6518,45.0,M,0.0,81,38080.0,1,1,Own,Local,0,0.0,33,Broker,0,7518.361383,6.0,Large,15861.29043,15713.77717,0,40.37,-80.23
7362,34.0,M,1.0,69,35253.0,1,0,Own,Local,0,0.0,50,Online,1,4665.799958,6.0,Compact,27652.84185,52821.12905,0,40.61,-80.25
22458,58.0,M,0.0,80,40597.0,1,1,Rent,Local,0,0.0,81,Broker,0,9880.724542,3.0,Medium,16932.21921,17165.4271,0,41.44,-94.76
3944,42.0,F,1.0,95,37388.0,1,1,Own,Parking Lot,0,0.0,0,Broker,0,1876.028498,5.0,Large,32872.97353,21742.3679,1,38.74,-77.48
4331,37.0,F,1.0,69,36108.0,1,1,Rent,Local,0,0.0,99,Broker,1,3107.252843,7.0,Large,33156.55032,36176.38716,0,33.35,-112.02
10197,67.0,F,0.0,79,42047.0,1,1,Rent,Local,0,1.0,98,Broker,1,1889.413177,2.0,Large,22126.15475,55076.97309,0,41.9,-93.3
26295,52.0,M,1.0,48,39512.0,1,1,Rent,Local,0,0.0,16,Broker,0,5386.507046,8.0,Compact,7459.937558,28541.25063,0,33.55,-112.13
1597,32.0,F,0.0,84,34663.0,0,1,Own,Parking Lot,0,0.0,53,Broker,0,2568.400847,9.0,Compact,17318.55566,8195.745723,1,41.84,-94.42
7412,38.0,M,1.0,93,36380.0,1,1,Rent,Highway,0,0.0,17,Phone,0,3587.987896,9.0,Large,15271.76045,10630.65897,0,40.76,-80.32
2677,46.0,F,1.0,67,38299.0,0,1,Own,Parking Lot,0,0.0,100,Phone,0,2888.846424,2.0,Large,14512.5055,27428.18379,0,39.06,-77.39
2402,46.0,F,0.0,73,38288.0,0,0,Own,Local,0,0.0,50,Broker,1,8059.386812,6.0,Compact,26674.36239,13095.82639,1,41.5,-94.52
945,53.0,F,1.0,66,39707.0,1,1,Rent,Parking Lot,0,0.0,34,Phone,1,2161.72553,6.0,Medium,19350.70448,48425.34484,0,33.45,-112.06
16107,33.0,F,1.0,78,34958.0,1,1,Own,Local,1,0.0,66,Broker,1,5273.816902,3.0,Compact,15816.21075,8406.755228,1,39.16,-77.61
11072,52.0,F,1.0,80,39514.0,1,1,Rent,Parking Lot,0,0.0,7,Phone,1,2185.641282,5.0,Compact,40029.48271,11088.31941,0,42.05,-93.87
17428,55.0,M,1.0,96,40074.0,1,1,Rent,Local,1,1.0,94,Broker,0,2493.496396,6.0,Large,17347.64965,16403.89341,0,41.9,-93.3
24575,43.0,M,0.0,90,37612.0,1,1,Rent,Local,2,0.0,19,Phone,1,1759.008258,4.0,Large,15756.25172,17965.85586,0,33.56,-112.0
12670,56.0,F,1.0,87,40265.0,0,1,Own,Highway,0,0.0,34,Phone,0,5433.082142,11.0,Compact,18831.86624,4763.098755,0,40.12,-79.86
24517,36.0,F,0.0,45,35841.0,1,1,Own,Highway,0,1.0,67,Phone,1,3376.416408,3.0,Compact,18889.10758,24575.23587,0,41.67,-93.24
16987,51.0,M,1.0,96,39325.0,1,0,Own,Highway,0,0.0,97,Broker,0,4648.570467,3.0,Medium,27296.36864,40219.43535,0,38.84,-77.44
18154,62.0,F,1.0,73,41265.0,0,0,Own,Parking Lot,0,0.0,2,Phone,1,417.8263523,2.0,Compact,11560.83826,10899.8208,0,38.87,-77.85
995,46.0,F,1.0,91,38286.0,1,1,Own,Highway,0,0.0,64,Broker,1,5690.837543,6.0,Compact,7643.669196,24819.30508,0,33.57,-112.05
12254,63.0,F,0.0,72,41422.0,1,0,Own,Local,0,0.0,3,Broker,1,3519.892494,3.0,Large,18704.5389,25181.09567,0,33.49,-112.21
22334,39.0,M,1.0,58,36635.0,0,1,Rent,Local,0,0.0,0,Broker,0,4061.431443,2.0,Compact,13046.08159,25505.55892,0,42.03,-93.65
18535,48.0,M,1.0,93,38722.0,1,0,Rent,Parking Lot,0,1.0,100,Broker,1,2422.696694,6.0,Compact,27125.22692,5299.132359,0,39.69,-104.81
19830,25.0,M,1.0,72,32208.0,1,1,Rent,Local,1,0.0,43,Online,0,6615.870337,7.0,Medium,23031.40911,31258.55969,0,41.01,-93.3
27033,32.0,M,1.0,78,34643.0,1,0,Rent,Highway,4,0.0,73,Phone,1,2164.835796,6.0,Medium,10885.03988,28300.57619,1,39.66,-104.84
12155,39.0,M,1.0,78,36636.0,1,1,Own,Local,0,0.0,99,Phone,1,4247.902627,5.0,Large,14697.30989,20787.5977,0,33.62,-112.05
23743,31.0,M,0.0,70,34338.0,0,1,Rent,Local,0,0.0,40,Phone,0,1361.98011,5.0,Compact,13389.06925,19826.11912,1,42.51,-93.37
2612,34.0,M,0.0,62,35268.0,1,1,Own,Parking Lot,0,0.0,96,Broker,1,6539.183751,7.0,Compact,15448.15918,13733.58395,0,33.5,-112.02
10786,64.0,M,1.0,75,41581.0,0,1,Own,Local,0,0.0,22,Phone,0,2778.539378,7.0,Medium,18908.21677,36256.1456,1,40.63,-80.22
11684,46.0,M,1.0,77,38277.0,1,0,Own,Local,1,0.0,30,Broker,1,2915.281776,3.0,Compact,28886.26298,41408.33325,1,33.44,-112.12
7498,48.0,F,1.0,43,38719.0,1,0,Own,Parking Lot,0,0.0,96,Phone,0,2303.785416,7.0,Large,32065.60942,13044.52954,0,38.75,-77.43
13805,47.0,F,1.0,72,38506.0,1,1,Own,Local,0,0.0,17,Phone,0,4324.19714,5.0,Medium,14472.46064,20271.76697,0,38.67,-77.99
14032,46.0,F,1.0,82,38295.0,1,0,Own,Parking Lot,0,0.0,65,Broker,0,3790.266593,4.0,Medium,10537.02608,23275.75425,0,40.69,-80.3
24119,42.0,M,1.0,84,37400.0,1,0,Own,Parking Lot,0,1.0,55,Broker,0,6188.032514,4.0,Compact,18656.50648,17012.24447,0,39.64,-104.99
29248,35.0,F,1.0,59,35562.0,1,1,Rent,Local,0,0.0,2,Broker,1,6379.776014,6.0,Compact,22511.63914,17303.68948,1,39.63,-104.78
11391,46.0,M,1.0,68,38291.0,1,0,Rent,Highway,0,0.0,14,Broker,0,4003.532945,6.0,Compact,13351.26624,5061.667731,0,41.9,-93.3
5824,65.0,F,1.0,86,41761.0,1,0,Rent,Parking Lot,0,0.0,43,Phone,1,2322.727991,4.0,Compact,27157.50057,13100.76501,0,41.9,-93.3
24081,49.0,F,0.0,76,38911.0,1,1,Own,Parking Lot,3,0.0,59,Broker,1,5572.0617,7.0,Compact,19901.12663,34101.85692,1,33.47,-112.19
14418,43.0,M,1.0,53,37605.0,1,1,Own,Local,3,0.0,4,Broker,1,6036.448322,5.0,Compact,9509.465712,7726.695997,1,33.45,-112.07
1065,28.0,F,1.0,86,33318.0,1,0,Own,Local,2,1.0,81,Online,1,10319.11823,7.0,Compact,15140.34124,47339.60552,0,40.35,-80.38
8439,36.0,F,0.0,63,35844.0,0,1,Own,Highway,0,0.0,52,Broker,0,7281.433334,4.0,Large,11955.66486,32369.82006,0,42.11,-92.98
991,44.0,M,1.0,80,37836.0,0,1,Own,Parking Lot,0,0.0,77,Broker,1,3876.597494,3.0,Large,11408.01991,35912.08819,0,33.5,-112.05
22596,70.0,F,1.0,82,42487.0,1,1,Own,Local,0,0.0,1,Phone,1,4272.377203,8.0,Large,19588.92072,27811.9424,0,39.69,-104.81
2004,28.0,F,0.0,70,33310.0,1,0,Rent,Parking Lot,0,0.0,4,Online,1,5264.640788,4.0,Medium,12855.96947,36356.40371,0,33.45,-111.97
5352,48.0,M,0.0,92,38697.0,1,1,Own,Local,0,0.0,0,Broker,1,7937.359498,7.0,Compact,15932.39599,34358.6277,1,40.63,-79.88
12051,48.0,F,1.0,76,38693.0,1,1,Rent,Local,0,1.0,37,Broker,1,3641.459022,11.0,Medium,41285.40561,17384.20699,0,38.63,-77.67
20178,43.0,F,1.0,47,37624.0,0,0,Own,Highway,0,0.0,7,Broker,1,2979.039166,4.0,Compact,45384.50059,7229.388204,0,39.83,-105.06
5764,37.0,F,0.0,78,36110.0,1,1,Own,Highway,0,0.0,72,Broker,1,7935.772823,4.0,Medium,15030.72369,7668.764185,0,33.49,-112.21
13487,26.0,F,1.0,85,32572.0,0,1,Rent,Highway,0,0.0,14,Online,1,3454.097996,7.0,Large,14716.65249,10875.0069,0,38.84,-77.44
23494,44.0,F,1.0,86,37853.0,1,0,Rent,Local,1,0.0,33,Phone,1,5066.087579,5.0,Compact,21561.96528,16344.46184,1,41.65,-93.47
15792,51.0,M,1.0,31,39328.0,0,1,Rent,Local,0,0.0,88,Broker,1,2996.530266,3.0,Large,27666.40037,17559.67954,0,41.72,-93.6
17330,38.0,F,1.0,76,36369.0,1,0,Own,Highway,0,1.0,1,Broker,1,4469.282055,10.0,Medium,11794.76655,19148.18315,0,40.65,-79.93
4598,42.0,M,0.0,77,37372.0,0,1,Rent,Parking Lot,0,0.0,3,Online,0,3370.154911,3.0,Medium,11822.98811,83918.64197,0,33.62,-112.13
18410,41.0,M,1.0,81,37126.0,1,1,Own,Parking Lot,0,0.0,70,Phone,0,3999.733227,2.0,Large,29996.96242,24606.75393,0,39.94,-105.28
417,36.0,M,1.0,79,35844.0,0,1,Own,Local,0,0.0,4,Phone,1,4526.090679,8.0,Large,12466.35718,17238.58679,0,40.55,-80.23
25963,37.0,M,1.0,92,36104.0,1,0,Own,Parking Lot,0,0.0,53,Broker,0,5675.611333,3.0,Large,24113.83645,16137.0535,0,33.45,-112.08
2135,46.0,F,1.0,58,38302.0,0,0,Own,Parking Lot,0,0.0,46,Phone,1,6409.001235,7.0,Compact,7439.536504,20394.36644,0,40.38,-80.39
21542,36.0,F,1.0,71,35831.0,0,0,Rent,Local,0,0.0,85,Broker,0,8173.097838,1.0,Medium,69526.83232,5240.758271,0,38.87,-77.4
18501,43.0,M,1.0,81,37599.0,1,1,Own,Parking Lot,0,0.0,22,Broker,0,6273.748782,9.0,Large,18740.04786,46534.5704,0,39.77,-105.09
26860,56.0,F,1.0,88,40249.0,0,0,Own,Local,0,0.0,31,Phone,0,3102.301466,7.0,Large,13550.43563,66345.07529,0,41.71,-94.92
10961,40.0,M,0.0,89,36880.0,0,1,Rent,Parking Lot,6,0.0,54,Broker,1,3937.552014,4.0,Large,24061.74143,16470.81387,1,39.0,-77.52
24761,36.0,M,1.0,82,35837.0,1,0,Own,Parking Lot,0,0.0,5,Broker,1,3368.265031,4.0,Compact,28722.4168,10998.95167,0,40.61,-80.25
16250,60.0,F,1.0,84,40955.0,1,0,Rent,Local,0,1.0,21,Broker,1,3570.456059,7.0,Medium,5599.327234,19238.99241,0,41.72,-93.6
25822,55.0,F,0.0,73,40072.0,0,0,Own,Local,0,0.0,100,Broker,1,3613.158904,6.0,Large,20019.29924,12205.06621,0,39.96,-105.14
20833,31.0,M,1.0,72,34349.0,1,1,Own,Highway,0,0.0,5,Broker,0,5748.001224,2.0,Compact,27876.58152,20463.78983,0,40.69,-80.3
29859,35.0,M,1.0,42,35538.0,0,0,Rent,Parking Lot,0,0.0,94,Broker,1,5851.266514,2.0,Compact,34040.59346,26085.98809,1,41.5,-94.52
28704,62.0,M,1.0,73,41272.0,1,0,Own,Parking Lot,1,0.0,49,Online,0,3987.474729,7.0,Large,29365.41468,14052.77687,0,39.94,-105.28
27283,29.0,F,0.0,81,33672.0,1,0,Own,Highway,0,0.0,98,Online,0,2059.616093,4.0,Medium,28883.39773,16995.85195,0,42.15,-94.47
696,40.0,M,1.0,85,36892.0,1,0,Own,Parking Lot,1,0.0,6,Phone,1,6077.384747,6.0,Medium,8281.754504,36192.68959,0,40.63,-79.88
24655,33.0,M,0.0,69,34977.0,0,1,Own,Local,0,1.0,49,Phone,0,4662.985797,4.0,Compact,32044.21704,28041.54921,0,39.74,-104.78
14183,72.0,M,1.0,65,42759.0,1,1,Rent,Local,0,0.0,17,Phone,0,8373.782145,2.0,Large,34038.8529,22508.108,0,40.61,-80.25
7253,52.0,M,0.0,88,39502.0,1,0,Rent,Parking Lot,1,0.0,32,Phone,1,1455.28235,6.0,Medium,19936.96117,31823.24747,0,41.65,-93.47
18698,54.0,F,1.0,59,39882.0,1,1,Rent,Local,0,0.0,99,Broker,0,3026.868524,4.0,Compact,25591.89347,36772.74376,0,40.31,-80.12
