,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,latitude,longitude,claim_year,claim_month,claim_day,claim_weekofyear,claim_weekday,claim_weekend,elapsed_time,rating_per_claim
24,37,50.0,M,0.0,85,39119.0,1,0,Rent,80110,2016-08-03,Parking Lot,0,1.0,2,Phone,1,1644.576186,8.0,Compact,38604.018169999996,white,18023.00599,0,39.64,-104.99,2016,8,3,31,2,0,516,85.0
25,38,43.66838975043077,M,1.0,60,52988.0,1,1,Rent,85020,2015-12-26,Highway,0,0.0,85,Phone,1,5782.266662,5.0,Compact,21503.302069999998,other,21437.33521,0,33.57,-112.05,2015,12,26,52,5,1,737,60.0
26,39,44.0,M,1.0,85,37855.0,1,1,Own,20141,2015-05-31,Parking Lot,0,0.0,27,Online,1,4308.093194,2.0,Compact,12562.74575,black,22076.24297,0,39.13,-77.77,2015,5,31,22,6,1,946,85.0
27,40,37.0,F,1.0,65,36117.0,1,1,Own,15001,2016-08-19,Highway,0,0.0,17,Phone,0,5854.332086,6.0,Medium,20679.530609999998,blue,16762.27489,0,40.61,-80.25,2016,8,19,33,4,0,500,65.0
28,42,52.0,F,1.0,68,39512.0,1,1,Rent,20111,2016-01-09,Highway,0,1.0,50,Phone,0,5801.718463,3.0,Medium,32411.116680000003,black,43143.736730000004,0,38.75,-77.43,2016,1,9,1,5,1,723,68.0
29,43,56.0,M,1.0,67,40259.0,1,0,Rent,80021,2015-11-04,Local,0,0.0,79,Phone,0,6035.780111,2.0,Large,23285.862569999998,white,51321.032380000004,0,39.89,-105.11,2015,11,4,45,2,0,789,67.0
30,49,32.0,M,0.0,89,34654.0,1,1,Own,80030,2015-02-13,Local,0,0.0,0,Phone,1,7432.5432519999995,6.0,Compact,23283.72654,white,18770.23633,0,39.83,-105.04,2015,2,13,7,4,0,1053,89.0
31,50,40.0,F,1.0,84,36893.0,1,1,Own,50054,2015-05-12,Local,0,0.0,31,Broker,1,7732.19714,3.0,Medium,10546.61343,red,13309.89239,0,41.67,-93.24,2015,5,12,20,1,0,965,84.0
32,53,52.0,F,0.0,84,39496.0,0,1,Own,80013,2016-04-23,Parking Lot,0,0.0,60,Broker,0,5919.395308,8.0,Medium,40471.74613,silver,24617.92855,0,39.66,-104.77,2016,4,23,16,5,1,618,84.0
33,54,50.0,M,1.0,90,39129.0,0,0,Own,85028,2015-08-15,Highway,5,0.0,54,Phone,1,4491.348462,3.0,Medium,11816.91717,white,27109.69521,0,33.56,-112.0,2015,8,15,33,5,1,870,15.0
34,56,58.0,F,1.0,84,40599.0,1,0,Own,85064,2015-08-13,Local,0,1.0,77,Phone,1,2513.927533,6.0,Compact,36977.978760000005,blue,13998.38666,0,33.5,-112.03,2015,8,13,33,3,0,872,84.0
35,58,62.0,M,1.0,82,41269.0,1,0,Own,80015,2016-09-25,Parking Lot,1,0.0,78,Phone,1,2067.590252,5.0,Large,29135.11188,other,7881.247872,0,39.63,-104.78,2016,9,25,38,6,1,463,41.0
36,59,47.0,M,0.0,69,38508.0,0,0,Own,20143,2016-09-02,Parking Lot,1,0.0,0,Phone,1,4587.728674,5.0,Compact,14550.28805,silver,35403.81217,1,38.84,-77.56,2016,9,2,35,4,0,486,34.5
37,61,22.0,M,0.0,49,30902.0,1,0,Rent,80021,2016-04-16,Highway,1,0.0,68,Online,1,7982.336026999999,5.0,Compact,14373.21383,blue,9739.231253,1,39.89,-105.11,2016,4,16,15,5,1,625,24.5
38,63,47.0,M,1.0,79,38483.0,0,0,Rent,50036,2016-04-20,Local,0,0.0,62,Broker,0,5935.9705460000005,3.0,Compact,16908.14613,gray,18564.19126,1,42.05,-93.87,2016,4,20,16,2,0,621,79.0
39,64,26.0,M,0.0,93,32591.0,1,1,Rent,50047,2016-02-09,Highway,0,1.0,67,Online,1,7661.866723,7.0,Compact,14372.27717,blue,39002.8018,1,41.51,-93.48,2016,2,9,6,1,0,692,93.0
40,66,38.0,M,0.0,63,36387.0,1,1,Own,15053,2016-04-07,Highway,0,0.0,83,Phone,1,1875.688845,3.0,Compact,31261.40239,black,12837.764879999999,1,40.38,-80.36,2016,4,7,14,3,0,634,63.0
41,67,63.0,M,1.0,93,41428.0,1,1,Own,85067,2015-08-02,Local,0,0.0,84,Phone,1,3992.977667,4.0,Compact,7458.0891090000005,other,12713.39417,0,33.5,-112.08,2015,8,2,31,6,1,883,93.0
42,68,35.0,M,1.0,63,35551.0,1,0,Rent,50047,2015-11-13,Parking Lot,3,0.0,97,Broker,1,5242.562288,4.0,Large,40839.12416,gray,20542.75429,0,41.51,-93.48,2015,11,13,46,4,0,780,15.75
43,69,41.0,F,1.0,81,37119.0,1,1,Own,85031,2016-09-10,Parking Lot,0,0.0,98,Phone,0,11074.49993,5.0,Medium,41916.15961,silver,60022.57867,0,33.49,-112.16,2016,9,10,36,5,1,478,81.0
44,71,30.0,M,1.0,72,34025.0,0,1,Rent,50047,2015-07-11,Local,0,0.0,49,Phone,0,5900.507621,10.0,Large,25069.80315,red,6791.073297,1,41.51,-93.48,2015,7,11,28,5,1,905,72.0
45,73,50.0,F,1.0,90,39117.0,1,1,Rent,85079,2016-12-07,Highway,1,0.0,0,Broker,0,5869.3417,4.0,Medium,24211.61531,silver,28250.69734,0,33.5,-112.11,2016,12,7,49,2,0,390,45.0
46,74,35.0,F,0.0,86,35561.0,1,1,Own,20132,2016-03-24,Local,0,1.0,64,Broker,1,4391.006072,2.0,Medium,16064.606730000001,other,6696.948989,0,39.13,-77.71,2016,3,24,12,3,0,648,86.0
47,76,42.0,F,1.0,37,37368.0,1,1,Own,15009,2015-04-24,Local,0,0.0,97,Broker,1,2286.855815,9.0,Medium,38782.52542,other,17732.65318,0,40.69,-80.3,2015,4,24,17,4,0,983,37.0
48,77,69.0,F,1.0,68,42336.0,1,1,Rent,80024,2016-09-12,Local,1,1.0,37,Broker,1,2555.179947,1.0,Large,21442.80756,gray,25705.84281,0,39.84,-104.92,2016,9,12,37,0,0,476,34.0
49,78,28.0,M,0.0,85,33327.0,0,1,Own,15021,2015-08-07,Parking Lot,0,0.0,36,Online,1,1965.7530809999998,10.0,Medium,24573.68055,red,13930.50033,0,40.38,-80.39,2015,8,7,32,4,0,878,85.0
50,80,30.0,F,1.0,79,33993.0,0,1,Rent,20165,2016-08-12,Local,0,0.0,1,Broker,1,2220.849033,5.0,Compact,25063.75455,black,26149.48866,0,39.06,-77.39,2016,8,12,32,4,0,507,79.0
51,81,69.0,M,0.0,70,42352.0,0,0,Rent,15060,2016-01-01,Parking Lot,0,0.0,99,Broker,0,1912.5222399999998,9.0,Large,26679.72093,other,5636.813285,0,40.37,-80.29,2016,1,1,53,4,0,731,70.0
52,83,41.0,M,0.0,33,37140.0,1,1,Own,15018,2016-08-04,Parking Lot,5,0.0,5,Phone,1,5233.961701,2.0,Compact,27440.88412,silver,26447.089659999998,0,40.27,-79.8,2016,8,4,31,3,0,515,5.5
53,85,24.0,F,1.0,80,31767.0,1,1,Rent,80010,2016-12-18,Parking Lot,2,0.0,66,Online,1,4703.710172,6.0,Medium,33478.126169999996,white,3021.407359,1,39.74,-104.86,2016,12,18,50,6,1,379,26.666666666666668
54,89,72.0,F,1.0,82,42785.0,0,1,Rent,85029,2016-01-27,Parking Lot,0,1.0,42,Broker,1,8682.020795999999,3.0,Medium,20033.74414,red,27290.016539999997,0,33.59,-112.1,2016,1,27,4,2,0,705,82.0
55,90,48.0,M,1.0,53,38712.0,0,1,Rent,20165,2015-02-01,Local,0,0.0,83,Broker,1,2711.993143,6.0,Medium,26247.034490000002,gray,24320.41749,0,39.06,-77.39,2015,2,1,5,6,1,1065,53.0
56,91,31.0,M,0.0,78,34326.0,1,1,Own,50021,2015-12-26,Parking Lot,0,0.0,76,Phone,1,1986.4370379999998,5.0,Compact,39131.15578,black,44658.08904,0,41.72,-93.6,2015,12,26,52,5,1,737,78.0
57,92,31.0,M,1.0,83,34347.0,1,0,Own,15010,2015-03-31,Local,0,0.0,11,Broker,0,7431.434426000001,4.0,Medium,13544.558,black,36667.84401,0,40.76,-80.32,2015,3,31,14,1,0,1007,83.0
58,93,48.0,M,1.0,51,38701.0,1,1,Rent,15010,2016-02-14,Local,0,0.0,83,Phone,0,7283.061425,3.0,Large,10125.75246,gray,30684.7314,0,40.76,-80.32,2016,2,14,6,6,1,687,51.0
59,94,39.0,M,1.0,54,36644.0,1,1,Own,85074,2015-02-02,Parking Lot,0,0.0,40,Online,1,4165.6795950000005,5.0,Large,10621.073059999999,red,23843.99708,0,33.45,-112.09,2015,2,2,6,0,0,1064,54.0
60,95,78.0,M,1.0,61,43577.0,1,1,Rent,15010,2016-10-08,Local,0,0.0,25,Phone,1,3908.3009909999996,6.0,Medium,28643.049730000002,white,31554.73932,1,40.76,-80.32,2016,10,8,40,5,1,450,61.0
61,96,38.0,M,1.0,76,36374.0,1,0,Own,80020,2015-08-23,Local,4,1.0,40,Phone,1,3594.5218659999996,3.0,Medium,25162.9564,red,34363.3759,0,39.94,-105.06,2015,8,23,34,6,1,862,15.2
62,98,58.0,F,1.0,56,40616.0,1,1,Rent,85028,2015-01-06,Highway,0,1.0,99,Broker,0,1346.603764,3.0,Compact,10154.585309999999,blue,24013.54195,1,33.56,-112.0,2015,1,6,2,1,0,1091,56.0
63,99,59.0,F,1.0,79,40777.0,1,1,Rent,50007,2015-05-14,Local,2,1.0,93,Broker,1,8969.794924,7.0,Large,32607.403469999997,black,20880.751790000002,0,41.81,-93.61,2015,5,14,20,3,0,963,26.333333333333332
64,100,33.0,F,1.0,31,34958.0,1,0,Rent,20130,2015-03-30,Local,3,0.0,48,Phone,1,9148.765275,3.0,Large,13118.67565,blue,15129.074880000002,0,39.0,-77.95,2015,3,30,14,0,0,1008,7.75
65,102,31.0,M,0.0,78,34341.0,1,0,Own,80106,2016-05-12,Local,0,0.0,93,Phone,0,3244.330615,6.0,Compact,20936.84243,other,24656.22334,0,39.22,-104.53,2016,5,12,19,3,0,599,78.0
66,104,31.0,F,0.0,94,34327.0,0,0,Rent,85038,2015-10-02,Parking Lot,2,0.0,2,Phone,1,1899.797609,5.0,Compact,21262.31249,white,31277.050330000002,0,33.46,-111.98,2015,10,2,40,4,0,822,31.333333333333332
67,108,71.0,F,1.0,65,42609.0,0,0,Own,85054,2015-01-08,Parking Lot,0,0.0,77,Phone,0,6133.930265999999,7.0,Medium,10728.609690000001,red,10901.52408,0,33.67,-111.95,2015,1,8,2,3,0,1089,65.0
68,109,22.0,F,1.0,83,30897.0,1,1,Own,50049,2016-01-16,Parking Lot,0,0.0,0,Online,1,5801.370911,10.0,Compact,21554.60851,other,10803.11824,0,41.01,-93.3,2016,1,16,2,5,1,716,83.0
69,110,66.0,F,0.0,87,41890.0,1,0,Own,85060,2015-03-02,Local,0,1.0,0,Broker,1,2687.473644,5.0,Medium,13536.82481,silver,17400.79619,0,33.5,-111.98,2015,3,2,10,0,0,1036,87.0
70,111,43.66838975043077,M,1.0,60,48905.0,1,1,Own,15014,2015-08-26,Local,0,0.0,22,Broker,1,5922.919482,7.0,Medium,7626.9469420000005,blue,24659.77971,0,40.61,-79.74,2015,8,26,35,2,0,859,60.0
71,114,41.0,M,1.0,81,37141.0,0,1,Own,50035,2016-12-18,Highway,0,0.0,4,Broker,1,3844.360693,2.0,Medium,16156.218719999999,white,6556.531900999999,0,41.68,-93.46,2016,12,18,50,6,1,379,81.0
72,115,32.0,M,1.0,97,34675.0,1,1,Own,50047,2016-01-26,Parking Lot,0,1.0,69,Phone,1,2474.503079,5.0,Large,16313.57841,black,15686.61188,0,41.51,-93.48,2016,1,26,4,1,0,706,97.0
73,116,55.0,M,1.0,81,40081.0,1,1,Rent,15003,2016-02-27,Highway,1,1.0,7,Online,1,2022.314343,4.0,Large,13147.36133,silver,20520.1333,0,40.59,-80.22,2016,2,27,8,5,1,674,40.5
74,119,33.0,F,1.0,76,34958.0,1,0,Rent,85072,2016-12-18,Highway,0,0.0,61,Phone,0,5364.163592,4.0,Compact,13479.44598,black,14084.99804,0,33.45,-112.01,2016,12,18,50,6,1,379,76.0
75,120,55.0,M,1.0,81,40069.0,1,1,Rent,20129,2016-07-15,Local,0,0.0,10,Broker,1,1795.0330239999998,9.0,Compact,40159.10143,silver,15756.305180000001,0,39.16,-77.61,2016,7,15,28,4,0,535,81.0
76,121,44.0,M,1.0,49,37855.0,1,1,Own,20111,2015-08-21,Local,1,1.0,39,Online,1,4117.140947999999,6.0,Compact,19840.707430000002,blue,25392.340519999998,0,38.75,-77.43,2015,8,21,34,4,0,864,24.5
77,126,66.0,F,1.0,71,41906.0,1,0,Own,50012,2015-02-18,Local,0,0.0,7,Broker,0,3352.695861,3.0,Compact,35203.6731,red,40606.93982,0,42.03,-93.65,2015,2,18,8,2,0,1048,71.0
78,127,60.0,M,0.0,85,40934.0,0,1,Own,85027,2016-08-27,Parking Lot,1,0.0,7,Phone,0,3249.175753,4.0,Compact,8299.373302,gray,36181.35706,0,33.68,-112.09,2016,8,27,34,5,1,492,42.5
79,129,41.0,F,1.0,66,37140.0,1,1,Rent,20104,2016-02-27,Parking Lot,2,0.0,92,Broker,1,6627.3228340000005,1.0,Compact,6812.920755,white,47880.84964,1,38.92,-77.35,2016,2,27,8,5,1,674,22.0
80,130,35.0,M,1.0,81,35546.0,1,0,Own,85036,2016-02-07,Parking Lot,0,0.0,46,Broker,1,4944.509604999999,8.0,Large,42138.063030000005,black,20954.897569999997,0,33.63,-112.15,2016,2,7,5,6,1,694,81.0
81,131,46.0,M,1.0,93,38302.0,1,1,Rent,80025,2016-03-01,Local,0,0.0,45,Broker,1,3855.013775,7.0,Medium,23771.01456,silver,38244.06703,0,39.94,-105.28,2016,3,1,9,1,0,671,93.0
83,133,24.0,M,0.0,90,31788.0,0,0,Rent,80035,2015-10-26,Local,0,0.0,52,Online,1,5479.042762,5.0,Compact,31221.26205,black,18964.09006,0,39.88,-105.05,2015,10,26,44,0,0,798,90.0
84,135,53.0,F,0.0,86,39701.0,0,0,Own,15037,2016-07-26,Local,0,0.0,71,Online,0,4883.245075,7.0,Medium,10970.42287,white,17263.74357,0,40.27,-79.88,2016,7,26,30,1,0,524,86.0
85,143,50.0,F,1.0,66,39150.0,1,0,Rent,50043,2015-02-22,Local,0,1.0,49,Broker,0,6117.4325770000005,2.0,Large,43600.52774,black,39154.52864,0,42.41,-93.37,2015,2,22,8,6,1,1044,66.0
86,145,29.0,F,0.0,77,33660.0,1,1,Rent,80002,2015-04-05,Parking Lot,0,0.0,96,Online,1,4027.338224,3.0,Medium,7590.862761,gray,21365.8913,0,39.79,-105.11,2015,4,5,14,6,1,1002,77.0
87,146,45.0,F,0.0,77,38071.0,0,1,Rent,80022,2015-04-20,Highway,0,0.0,7,Phone,0,4728.121428,2.0,Large,21466.03576,black,41332.13128,1,39.88,-104.8,2015,4,20,17,0,0,987,77.0
88,147,33.0,M,1.0,77,34949.0,1,1,Own,50046,2015-08-12,Local,2,0.0,5,Broker,0,2920.737089,12.0,Large,10421.51335,other,3242.111556,0,41.89,-93.53,2015,8,12,33,2,0,873,25.666666666666668
89,148,27.0,M,1.0,48,32969.0,1,1,Rent,85022,2016-02-29,Parking Lot,0,0.0,2,Online,0,3240.955927,8.0,Compact,22242.58954,red,24824.96997,0,33.62,-112.05,2016,2,29,9,0,0,672,48.0
90,149,26.0,F,1.0,89,32578.0,1,1,Rent,85062,2016-09-16,Local,0,1.0,88,Online,0,5786.168171,6.0,Medium,94243.50725,gray,31928.541569999998,0,33.46,-111.98,2016,9,16,37,4,0,472,89.0
91,150,26.0,F,1.0,66,32582.0,1,0,Rent,15006,2015-03-31,Parking Lot,2,0.0,68,Online,1,4881.822384,9.0,Medium,14312.61926,other,7465.359193000001,0,40.63,-79.88,2015,3,31,14,1,0,1007,22.0
92,151,34.0,F,1.0,70,35278.0,1,1,Own,85034,2015-02-15,Local,0,0.0,11,Phone,1,10369.54802,8.0,Medium,27596.56284,gray,27418.23032,0,33.43,-112.01,2015,2,15,7,6,1,1051,70.0
93,155,57.0,F,1.0,93,40426.0,1,1,Own,50035,2015-07-23,Local,1,0.0,22,Online,0,4440.305754999999,7.0,Compact,19893.24245,gray,26262.494759999998,0,41.68,-93.46,2015,7,23,30,3,0,893,46.5
94,157,26.0,M,0.0,83,32590.0,1,0,Rent,50025,2016-03-21,Local,0,0.0,93,Online,1,5146.824903,3.0,Large,16283.461330000002,other,21324.447809999998,0,41.71,-94.92,2016,3,21,12,0,0,651,83.0
95,158,28.0,M,1.0,92,33305.0,1,0,Rent,80109,2015-10-27,Parking Lot,2,0.0,92,Online,1,3946.408329,8.0,Medium,19317.27869,red,12991.255140000001,0,39.36,-104.9,2015,10,27,44,1,0,797,30.666666666666668
96,159,51.0,M,0.0,80,39328.0,1,0,Rent,15012,2016-03-22,Highway,0,0.0,87,Broker,0,4062.595137,7.0,Compact,6478.250899000001,other,14135.085869999999,0,40.12,-79.86,2016,3,22,12,1,0,650,80.0
97,160,46.0,F,1.0,88,38278.0,1,0,Own,80047,2015-06-15,Parking Lot,0,0.0,49,Broker,1,1286.658045,8.0,Compact,15825.76215,black,38411.00263,0,39.69,-104.81,2015,6,15,25,0,0,931,88.0
98,161,38.0,M,1.0,46,36382.0,0,0,Rent,85037,2016-07-25,Local,0,1.0,55,Broker,0,3734.335783,8.0,Compact,21895.93621,red,37278.35856,0,33.48,-112.25,2016,7,25,30,0,0,525,46.0
99,162,42.0,M,1.0,91,37384.0,0,1,Rent,20152,2016-11-30,Parking Lot,2,0.0,49,Broker,1,8115.719809,4.0,Compact,21041.91676,gray,32245.074930000002,0,38.92,-77.5,2016,11,30,48,2,0,397,30.333333333333332
100,163,40.0,F,1.0,59,36891.0,0,0,Rent,15032,2015-04-22,Local,0,0.0,27,Broker,0,5450.951543,6.0,Large,26281.40145,gray,33750.65411,0,40.64,-79.84,2015,4,22,17,2,0,985,59.0
101,164,22.0,M,1.0,71,30911.0,0,0,Rent,15022,2016-04-17,Parking Lot,1,1.0,48,Online,0,5274.634531000001,10.0,Medium,35724.7214,gray,20271.66068,0,40.13,-79.9,2016,4,17,15,6,1,624,35.5
102,165,53.0,M,1.0,57,39692.0,1,0,Rent,85082,2015-02-04,Local,0,1.0,75,Broker,1,5768.062532,3.0,Medium,34238.30965,white,31713.20335,0,33.46,-111.98,2015,2,4,6,2,0,1062,57.0
103,166,56.0,F,1.0,70,40258.0,1,1,Rent,15010,2015-07-24,Parking Lot,0,0.0,99,Broker,1,6148.332688,4.0,Large,13896.45906,white,35873.618760000005,0,40.76,-80.32,2015,7,24,30,4,0,892,70.0
104,167,52.0,M,1.0,86,39526.0,1,0,Rent,80023,2015-03-25,Local,0,1.0,50,Phone,1,5204.923027000001,2.0,Compact,36928.31072,other,21649.17331,0,39.96,-105.02,2015,3,25,13,2,0,1013,86.0
105,169,52.0,F,0.0,78,39514.0,1,1,Rent,80022,2015-06-15,Local,1,1.0,4,Broker,1,2960.049707,3.0,Compact,14237.41558,black,13561.594159999999,0,39.88,-104.8,2015,6,15,25,0,0,931,39.0
106,171,58.0,F,0.0,84,40600.0,0,0,Own,15010,2015-09-27,Parking Lot,0,1.0,32,Broker,1,9126.978739,8.0,Compact,39933.19714,blue,25573.20028,0,40.76,-80.32,2015,9,27,39,6,1,827,84.0
107,173,61.0,M,1.0,40,41114.0,1,0,Own,15001,2016-09-07,Parking Lot,1,0.0,7,Broker,1,11188.70141,7.0,Large,36338.65456,white,16730.27499,0,40.61,-80.25,2016,9,7,36,2,0,481,20.0
108,175,25.0,M,1.0,81,32191.0,1,1,Rent,50052,2015-11-12,Local,0,0.0,2,Online,0,1216.997259,5.0,Large,16102.30298,black,4735.711061,0,40.63,-93.45,2015,11,12,46,3,0,781,81.0
109,177,40.0,M,0.0,69,36890.0,0,0,Own,85023,2015-10-01,Parking Lot,0,0.0,73,Broker,1,4252.04811,4.0,Medium,6884.202534,red,40497.26609,0,33.63,-112.09,2015,10,1,40,3,0,823,69.0
110,178,45.0,F,1.0,88,38066.0,1,1,Own,85024,2015-10-19,Highway,0,1.0,94,Online,1,3335.7334920000003,7.0,Large,23314.03707,blue,17736.95324,0,33.68,-112.04,2015,10,19,43,0,0,805,88.0
111,179,57.0,M,0.0,73,40419.0,1,1,Own,50013,2015-08-23,Highway,0,1.0,39,Phone,0,2916.523076,7.0,Medium,16323.05884,white,27329.186960000003,1,42.02,-93.62,2015,8,23,34,6,1,862,73.0
112,180,22.0,F,1.0,88,30896.0,0,0,Rent,80027,2016-12-13,Local,0,0.0,98,Phone,0,5765.7997,6.0,Medium,60513.13642,black,11983.34447,0,39.96,-105.14,2016,12,13,50,1,0,384,88.0
113,182,24.0,F,1.0,39,31786.0,1,0,Rent,80101,2015-10-09,Local,0,0.0,80,Online,1,6022.258251,8.0,Compact,8327.329294,red,17024.45674,0,39.47,-103.95,2015,10,9,41,4,0,815,39.0
114,183,36.0,F,1.0,96,35828.0,1,1,Own,50050,2016-12-16,Parking Lot,0,1.0,84,Broker,1,6636.546243,5.0,Compact,17850.07776,silver,23165.10776,0,42.15,-94.47,2016,12,16,50,4,0,381,96.0
115,185,37.0,M,1.0,57,36106.0,1,1,Own,80046,2015-11-05,Local,0,1.0,95,Broker,0,2156.223939,5.0,Large,12790.99136,red,31471.969689999998,0,39.69,-104.81,2015,11,5,45,3,0,788,57.0
